music_info,music_name
"表演者:
                                    
                                    肖战
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 单曲
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2020-04-25
    

                
                    
    
    出版者: NSM Music",光点
"表演者:
                                    
                                    蔡徐坤
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: EP
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2018-08-02
    

                
                    
    
    出版者: 永稻星文化",1
"又名: OK
    

                
                    
                        
                            表演者:
                                    
                                    张震岳 Csun Yuk
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 专辑
    

                
                    
    
    介质: CD
    

                
                    
    
    发行时间: 2007-07-06
    

                
                    
    
    出版者: 滚石唱片
    

                
                    
    
    唱片数: 1
    

                
                        
    
    条形码: 9787880887778
    

                
                    
    
    ISRC(中国): CNA650755800
    


            
            其他版本: 
            OK
            （全部）",思念是一种病
"表演者:
                                    
                                    蔡徐坤
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 单曲
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2018-08-23
    

                
                    
    
    出版者: 永稻星文化",Wait Wait Wait
"表演者:
                                    
                                    周杰倫
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 专辑
    

                
                    
    
    介质: CD+DVD
    

                
                    
    
    发行时间: 2004-07-30
    

                
                    
    
    出版者: 新力音乐
    

                
                    
    
    唱片数: 2
    

                
                        
    
    条形码: 0886971811124
    


            
            其他版本: 
            七里香
            （全部）",七里香
"又名: Against the Light
    

                
                    
                        
                            表演者:
                                    
                                    孙燕姿
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: Import
    

                
                    
    
    介质: CD
    

                
                    
    
    发行时间: 2007-03-22
    

                
                    
    
    出版者: EMI
    

                
                    
    
    唱片数: 1
    

                
                        
    
    条形码: 0094639027729
    

                
                    
    
    ISRC(中国): CNA260733400
    


            
            其他版本: 
            孙燕姿:逆光
            （全部）",逆光
"表演者:
                                    
                                    王一博
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 单曲
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2017-11-17
    

                
                    
    
    出版者: 贰伍陆文化传媒",Just Dance
"表演者:
                                    
                                    王一博
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 单曲
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2019-03-13
    

                
                    
    
    出版者: 乐华娱乐
    

                
                    
    
    唱片数: 1",Lucky
"又名: 第二天堂
    

                
                    
                        
                            表演者:
                                    
                                    林俊杰
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 专辑
    

                
                    
    
    介质: CD
    

                
                    
    
    发行时间: 2004
    

                
                    
    
    出版者: 海蝶音乐
    

                
                    
    
    唱片数: 1
    

                
                        
    
    条形码: 9787880449419
    

                
                    
    
    ISRC(中国): CNA500440000
    


            
            其他版本: 
            林俊杰:第2天堂
            （全部）",江南
"表演者:
                                    
                                    梁静茹 Fish
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 专辑
    

                
                    
    
    介质: CD
    

                
                    
    
    发行时间: 2000-08-02
    

                
                    
    
    出版者: 滚石唱片
    

                
                    
    
    唱片数: 1
    

                
                        
    
    条形码: 4710149628152
    

                
                    
    
    ISRC(中国): CNA500033700
    


            
            其他版本: 
            如果有一天
            （全部）",勇气
"表演者:
                                    
                                    逃跑计划
                        
                    
                    
                    
                
                    
    
    流派: 摇滚
    

                
                    
    
    专辑类型: 单曲
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2011-04-12
    

                
                    
    
    出版者: 美丽世界音乐",夜空中最亮的星
"又名: Fantasy
    

                
                    
                        
                            表演者:
                                    
                                    周杰伦
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 专辑
    

                
                    
    
    介质: CD
    

                
                    
    
    发行时间: 2001-09-14
    

                
                    
    
    出版者: BMG
    

                
                    
    
    唱片数: 1
    

                
                        
    
    条形码: 9787799602868
    

                
                    
    
    ISRC(中国): CNA260150200
    


            
            其他版本: 
            范特西
            （全部）",范特西
"又名: 电影《昨日青空》青春成长曲
    

                
                    
                        
                            表演者:
                                    
                                    王一博
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 单曲
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2018-10-20
    

                
                    
    
    出版者: 光线彩条屋",年少心事
"又名: If I Were Young
    

                
                    
                        
                            表演者:
                                    
                                    李荣浩
                        
                    
                    
                    
                
                    
    
    流派: 流行
    

                
                    
    
    专辑类型: 单曲
    

                
                    
    
    介质: 数字(Digital)
    

                
                    
    
    发行时间: 2018-07-19
    

                
                    
    
    出版者: 华纳唱片
    

                
                    
    
    唱片数: 1",年少有为
