fund_day_rise,fund_id,fund_name,fund_net_value,fund_risk,fund_this_year_rise,fund_time,fund_year_rise
+0.93%,110022,易方达消费行业股票,4.557,中高风险(R4),+49.07%,2020-12-01,+58.61%
+1.40%,007548,易方达ESG责任投资股票发起式,1.6883,中风险(R3),+63.33%,2020-12-01,+70.31%
+2.00%,008286,易方达研究精选股票,1.5483,中风险(R3),--,2020-12-01,--
+2.56%,008283,易方达金融行业股票发起式,1.3129,中风险(R3),--,2020-12-01,--
+1.17%,009265,易方达消费精选股票,1.2671,中风险(R3),--,2020-12-01,--
+1.89%,009341,易方达均衡成长股票,1.1098,中风险(R3),--,2020-12-01,--
+0.69%,010013,易方达信息行业精选股票,1.0068,中风险(R3),--,2020-12-01,--
+0.26%,010387,易方达医药生物股票A,1.0006,中风险(R3),--,2020-12-01,--
+0.26%,010388,易方达医药生物股票C,1.0003,中风险(R3),--,2020-12-01,--
+1.58%,110001,易方达平稳增长混合,4.309,中风险(R3),+34.05%,2020-12-01,+43.49%
+2.07%,110002,易方达策略成长混合,4.247,中高风险(R4),+29.64%,2020-12-01,+36.86%
+1.84%,110005,易方达积极成长混合,0.8763,中风险(R3),+37.54%,2020-12-01,+45.33%
+1.74%,110009,易方达价值精选混合,1.6519,中高风险(R4),+49.37%,2020-12-01,+57.57%
+2.05%,112002,易方达策略成长二号混合,1.245,中高风险(R4),+30.26%,2020-12-01,+37.52%
+1.93%,110010,易方达价值成长混合,2.4766,中高风险(R4),+35.74%,2020-12-01,+43.83%
+2.19%,110029,易方达科讯混合,1.7103,中高风险(R4),+44.39%,2020-12-01,+56.85%
+1.94%,110011,易方达中小盘混合,8.0680,中高风险(R4),+62.64%,2020-12-01,+70.00%
+1.01%,110012,易方达科汇灵活配置混合,2.509,中风险(R3),+56.39%,2020-12-01,+65.24%
+2.18%,110013,易方达科翔混合,4.681,中高风险(R4),+50.72%,2020-12-01,+64.83%
+2.08%,110015,易方达行业领先混合,4.361,中高风险(R4),+61.29%,2020-12-01,+72.17%
+2.77%,110023,易方达医疗保健行业混合,3.450,中高风险(R4),+56.68%,2020-12-01,+60.32%
+0.92%,110025,易方达资源行业混合,1.099,中高风险(R4),+28.24%,2020-12-01,+40.90%
+1.41%,000404,易方达新兴成长混合,4.186,中高风险(R4),+43.16%,2020-12-01,+61.31%
+0.24%,000436,易方达裕惠定开混合发起式,1.684,中风险(R3),+4.66%,2020-12-01,+5.98%
+2.20%,001018,易方达新经济混合,3.021,中高风险(R4),+52.73%,2020-12-01,+67.28%
+2.07%,000603,易方达创新驱动混合,1.529,中高风险(R4),+57.95%,2020-12-01,+71.80%
+0.33%,001136,易方达裕如混合,1.222,中风险(R3),+7.95%,2020-12-01,+9.79%
+1.33%,001076,易方达改革红利混合,1.829,中高风险(R4),+55.53%,2020-12-01,+65.37%
+1.52%,001184,易方达新常态混合,0.670,中高风险(R4),+46.29%,2020-12-01,+56.91%
+2.11%,001475,易方达国防军工混合,1.354,中高风险(R4),+67.57%,2020-12-01,+80.05%
+1.87%,001373,易方达新丝路混合,1.579,中高风险(R4),+58.85%,2020-12-01,+67.09%
+1.67%,001513,易方达信息产业混合,2.312,中高风险(R4),+35.05%,2020-12-01,+48.02%
+1.07%,002910,易方达供给改革混合,1.7387,中高风险(R4),+80.55%,2020-12-01,+104.72%
+1.73%,001603,易方达安盈回报混合,2.175,中风险(R3),+46.66%,2020-12-01,+61.47%
+1.11%,003293,易方达科瑞混合,1.8398,中高风险(R4),+51.72%,2020-12-01,+61.12%
+0.44%,002602,易方达丰惠混合,1.137,中风险(R3),-0.18%,2020-12-01,+5.57%
+2.25%,001856,易方达环保主题混合,2.819,中高风险(R4),+86.57%,2020-12-01,+107.74%
+1.29%,001382,易方达国企改革混合,2.280,中高风险(R4),+62.74%,2020-12-01,+73.78%
+2.09%,001898,易方达大健康主题混合,2.097,中风险(R3),+50.11%,2020-12-01,+56.73%
+2.01%,001857,易方达现代服务业混合,2.033,中风险(R3),+60.71%,2020-12-01,+71.71%
+1.70%,002216,易方达量化策略精选混合A,1.677,中风险(R3),+57.02%,2020-12-01,+66.87%
+1.72%,002217,易方达量化策略精选混合C,1.653,中风险(R3),+56.39%,2020-12-01,+66.13%
+1.61%,005438,易方达易百智能量化策略混合C,1.3083,中风险(R3),+34.95%,2020-12-01,+44.98%
+1.31%,005583,易方达港股通红利混合,1.1383,中风险(R3),+25.85%,2020-12-01,+33.85%
+2.43%,005875,易方达中盘成长混合,2.6209,中风险(R3),+65.10%,2020-12-01,+75.93%
+0.27%,161131,易方达3年封闭战略配售混合（LOF）,1.1334,中风险(R3),+4.00%,2020-12-01,+5.02%
+0.89%,005955,易方达鑫转添利混合A,1.7505,中风险(R3),+30.95%,2020-12-01,+44.93%
+0.89%,005956,易方达鑫转添利混合C,1.7177,中风险(R3),+30.23%,2020-12-01,+44.07%
+1.38%,005827,易方达蓝筹精选混合,2.5665,中风险(R3),+74.70%,2020-12-01,+84.72%
