fund_id,fund_stock_code,fund_stock_name,fund_stock_number,fund_stock_rank,fund_stock_ratio,fund_stock_value,fund_time
000404,300017,网宿科技,"1,265,560",1,7.69%,"80,742,728.00",20140630
000404,002400,省广股份,"3,281,152",2,7.68%,"80,650,716.16",20140630
000404,300315,掌趣科技,"4,800,155",3,7.67%,"80,534,097.15",20140630
000404,002065,东华软件,"3,051,865",4,5.85%,"61,403,523.80",20140630
000404,600763,通策医疗,"1,192,738",5,4.64%,"48,687,565.16",20140630
000404,300177,中海达,"3,000,000",6,4.44%,"46,650,000.00",20140630
000404,300295,三六五网,"455,270",7,4.34%,"45,572,527.00",20140630
000404,002390,信邦制药,"2,094,608",8,4.24%,"44,552,312.16",20140630
000404,002030,达安基因,"2,036,300",9,3.77%,"39,606,035.00",20140630
000404,300059,东方财富,"2,880,000",10,3.30%,"34,646,400.00",20140630
000404,002400,省广股份,"4,362,880",1,8.82%,"109,682,803.20",20140930
000404,300315,掌趣科技,"4,500,155",2,6.60%,"82,007,335.85",20140930
000404,600645,中源协和,"1,860,000",3,5.38%,"66,922,800.00",20140930
000404,600763,通策医疗,"1,377,438",4,5.34%,"66,461,383.50",20140930
000404,002065,东华软件,"2,381,590",5,4.00%,"49,799,046.90",20140930
000404,300359,全通教育,"538,256",6,3.82%,"47,447,266.40",20140930
000404,002019,鑫富药业,"1,120,000",7,3.15%,"39,121,600.00",20140930
000404,300244,迪安诊断,"890,500",8,3.12%,"38,736,750.00",20140930
000404,300295,三六五网,"317,199",9,2.98%,"37,048,843.20",20140930
000404,002292,奥飞动漫,"4,999,965",1,9.59%,"258,548,190.15",20151231
000404,300188,美亚柏科,"5,008,978",2,9.42%,"253,955,184.60",20151231
000404,002153,石基信息,"1,617,783",3,9.06%,"244,285,233.00",20151231
000404,300109,新开源,"1,507,658",4,5.82%,"156,871,814.90",20151231
000404,300333,兆日科技,"3,200,195",5,5.70%,"153,609,360.00",20151231
000404,002030,达安基因,"5,000,000",1,9.97%,"221,500,000.00",20150630
000404,002055,得润电子,"3,700,000",2,9.64%,"214,156,000.00",20150630
000404,002153,石基信息,"1,500,135",3,8.78%,"195,002,548.65",20150630
000404,600645,中源协和,"1,871,000",4,6.68%,"148,445,140.00",20150630
000404,002390,信邦制药,"1,600,000",10,2.94%,"36,560,000.00",20140930
000404,600645,中源协和,"2,300,000",6,5.55%,"149,523,000.00",20151231
000404,300113,顺网科技,"1,392,717",7,5.24%,"141,179,722.29",20151231
000404,300047,天源迪科,"4,472,237",8,4.83%,"130,142,096.70",20151231
000404,600756,浪潮软件,"2,298,300",9,4.39%,"118,201,569.00",20151231
000404,300007,汉威电子,"2,921,625",10,3.71%,"99,919,575.00",20151231
000404,600763,通策医疗,"1,218,600",5,6.05%,"134,484,696.00",20150630
000404,300007,汉威电子,"1,662,130",6,5.59%,"124,194,353.60",20150630
000404,300024,机器人,"1,315,200",7,4.57%,"101,612,352.00",20150630
