fund_id,fund_stock_name,fund_stock_ratio,fund_time
3900,中国太保,1.18%,20200930
3900,京东方A,1.11%,20200930
3900,成都银行,1.04%,20200930
3900,荣盛石化,1.01%,20200930
3900,保利地产,0.96%,20200930
3900,招商公路,0.78%,20200930
3900,中国建筑,0.76%,20200930
3900,东方雨虹,0.75%,20200930
3900,贵州茅台,0.75%,20200930
3900,碧水源,0.74%,20200930
4075,迈瑞医疗,7.28%,20200930
4075,药明康德,7.18%,20200930
4075,恒瑞医药,6.65%,20200930
4075,爱尔眼科,5.87%,20200930
4075,凯莱英,4.12%,20200930
4075,迈克生物,3.84%,20200930
4075,智飞生物,3.82%,20200930
4075,通策医疗,3.39%,20200930
4075,安图生物,3.30%,20200930
4075,泰格医药,3.08%,20200930
4868,贵州茅台,8.97%,20200930
4868,洋河股份,8.79%,20200930
4868,五粮液,7.94%,20200930
4868,汤臣倍健,5.87%,20200930
4868,水井坊,5.02%,20200930
4868,酒鬼酒,5.01%,20200930
4868,万科A,5.00%,20200930
4868,锦江酒店,4.99%,20200930
4868,药明康德,4.95%,20200930
4868,东方雨虹,4.58%,20200930
4975,招商银行,1.09%,20200930
4975,三全食品,0.99%,20200930
4975,保利地产,0.96%,20200930
4975,成都银行,0.82%,20200930
4975,中国建筑,0.78%,20200930
4975,三一重工,0.77%,20200930
4975,万科A,0.76%,20200930
4975,碧水源,0.74%,20200930
4975,中芯国际,0.72%,20200930
4975,华峰氨纶,0.69%,20200930
5001,万科A,9.92%,20200930
5001,三花智控,7.60%,20200930
5001,保利地产,6.16%,20200930
5001,紫光国微,5.56%,20200930
5001,金地集团,5.21%,20200930
5001,裕同科技,5.04%,20200930
5001,华宇软件,4.97%,20200930
5001,顺丰控股,4.41%,20200930
5001,美亚柏科,4.00%,20200930
5001,中南建设,3.92%,20200930
5004,贵州茅台,8.99%,20200930
5004,洋河股份,8.70%,20200930
5004,五粮液,7.94%,20200930
5004,汤臣倍健,5.78%,20200930
5004,水井坊,5.00%,20200930
5004,锦江酒店,4.99%,20200930
5004,酒鬼酒,4.94%,20200930
5004,万科A,4.92%,20200930
5004,药明康德,4.11%,20200930
5004,东方雨虹,4.03%,20200930
6202,腾讯控股,6.24%,20200930
6202,贵州茅台,5.79%,20200930
6202,立讯精密,5.15%,20200930
6202,美团点评－Ｗ,4.91%,20200930
6202,中升控股,4.91%,20200930
6202,海丰国际,4.35%,20200930
6202,欣旺达,4.07%,20200930
6202,迈瑞医疗,4.02%,20200930
6202,金山软件,3.93%,20200930
6202,三花智控,3.85%,20200930
6223,腾讯控股,7.10%,20200930
6223,美团点评－Ｗ,4.07%,20200930
6223,三全食品,4.00%,20200930
6223,中公教育,3.44%,20200930
6223,立讯精密,3.28%,20200930
6223,东方雨虹,3.10%,20200930
6223,顺丰控股,2.64%,20200930
6223,贵州茅台,2.40%,20200930
6223,金山软件,2.28%,20200930
6223,山东药玻,2.16%,20200930
8507,顺丰控股,9.29%,20200930
8507,美的集团,8.58%,20200930
8507,芒果超媒,7.12%,20200930
8507,视源股份,5.43%,20200930
8507,东方雨虹,5.34%,20200930
8507,顾家家居,4.56%,20200930
8507,中天科技,4.55%,20200930
8507,绝味食品,4.23%,20200930
8507,三七互娱,3.18%,20200930
8507,三花智控,2.86%,20200930
8734,紫光国微,6.72%,20200930
8734,顺丰控股,6.20%,20200930
8734,三花智控,5.70%,20200930
8734,芒果超媒,5.45%,20200930
8734,立讯精密,4.97%,20200930
8734,三七互娱,4.58%,20200930
8734,绝味食品,4.09%,20200930
8734,东方雨虹,4.05%,20200930
8734,柏楚电子,3.81%,20200930
8734,京东方A,2.84%,20200930
8955,紫光国微,9.32%,20200930
8955,亿纬锂能,9.11%,20200930
8955,东方雨虹,5.22%,20200930
8955,顺丰控股,3.34%,20200930
8955,立讯精密,3.33%,20200930
8955,新城控股,3.21%,20200930
8955,欣旺达,3.16%,20200930
8955,巨星科技,3.05%,20200930
8955,一拖股份,2.78%,20200930
8955,东山精密,2.49%,20200930
9402,紫光国微,9.55%,20200930
9402,鸿远电子,8.98%,20200930
9402,华夏航空,8.06%,20200930
9402,振华科技,3.58%,20200930
9402,亿纬锂能,3.44%,20200930
9402,新华保险,3.26%,20200930
9402,博威合金,3.15%,20200930
9402,风华高科,2.61%,20200930
9402,中国平安,2.22%,20200930
9402,瑞普生物,1.99%,20200930
9618,贵州茅台,3.37%,20200930
9618,药明康德,2.68%,20200930
9618,顺丰控股,2.52%,20200930
9618,泸州老窖,2.17%,20200930
9618,腾讯控股,2.16%,20200930
9618,荣盛石化,1.60%,20200930
9618,东方雨虹,1.40%,20200930
9618,洋河股份,1.29%,20200930
9618,爱尔眼科,1.16%,20200930
9618,芒果超媒,1.15%,20200930
10094,--,--,20200930
10143,--,--,20200930
501087,顺丰控股,9.15%,20200930
501087,东方雨虹,8.57%,20200930
501087,绝味食品,7.63%,20200930
501087,腾讯控股,7.62%,20200930
501087,万科企业,6.69%,20200930
501087,紫光国微,5.47%,20200930
501087,视源股份,5.05%,20200930
501087,金山软件,4.22%,20200930
501087,贵州茅台,4.22%,20200930
501087,绿城服务,4.20%,20200930
501092,顺丰控股,5.67%,20200930
501092,海尔智家,3.81%,20200930
501092,金地集团,3.05%,20200930
501092,华夏航空,2.32%,20200930
501092,视源股份,2.11%,20200930
501092,启明星辰,2.07%,20200930
501092,兴业银行,2.03%,20200930
501092,保利地产,1.81%,20200930
501092,威高股份,1.75%,20200930
501092,卫星石化,1.75%,20200930
519688,顺丰控股,8.97%,20200930
519688,东方雨虹,8.64%,20200930
519688,绝味食品,7.58%,20200930
519688,万科A,6.15%,20200930
519688,紫光国微,5.96%,20200930
519688,视源股份,5.01%,20200930
519688,贵州茅台,4.43%,20200930
519688,中国平安,3.96%,20200930
519688,立讯精密,3.66%,20200930
519688,药明康德,3.57%,20200930
519690,中南建设,8.98%,20200930
519690,格力电器,5.42%,20200930
519690,保利地产,5.19%,20200930
519690,阳光城,5.04%,20200930
519690,金科股份,4.27%,20200930
519690,紫光国微,3.88%,20200930
519690,绝味食品,3.27%,20200930
519690,新城控股,2.66%,20200930
519690,金地集团,2.64%,20200930
519690,捷佳伟创,2.51%,20200930
519692,三全食品,9.86%,20200930
519692,绝味食品,9.45%,20200930
519692,中公教育,8.70%,20200930
519692,健友股份,8.20%,20200930
519692,紫光国微,8.02%,20200930
519692,科大讯飞,7.90%,20200930
519692,隆平高科,5.95%,20200930
519692,桃李面包,4.68%,20200930
519692,海大集团,4.66%,20200930
519692,中天精装,4.19%,20200930
519694,三全食品,9.87%,20200930
519694,绝味食品,9.60%,20200930
519694,健友股份,8.50%,20200930
519694,中公教育,8.48%,20200930
519694,科大讯飞,8.13%,20200930
519694,紫光国微,8.03%,20200930
519694,隆平高科,5.80%,20200930
519694,海大集团,4.57%,20200930
519694,柏楚电子,4.28%,20200930
519694,桃李面包,4.27%,20200930
519697,万科A,8.04%,20200930
519697,三花智控,6.93%,20200930
