fund_id,fund_name,fund_time,fund_type
3900,交银瑞鑫定开,20201208,混合型
4075,交银医药创新,20201208,股票型
4868,交银股息优化,20201208,混合型
4975,交银恒益,20201208,混合型
5001,交银持续成长,20201208,混合型
5004,交银品质升级,20201208,混合型
6202,交银核心资产,20201208,混合型
6223,交银创新成长,20201208,混合型
8507,交银内核驱动,20201208,混合型
8734,交银科锐科技创新,20201208,混合型
8955,交银创新领航,20201208,混合型
9402,交银启明,20201208,混合型
9618,交银启汇,20201208,混合型
10094,交银产业机遇,20201208,混合型
10143,交银启欣,20201204,混合型
501087,交银瑞丰,20201208,混合型
501092,交银瑞思,20201208,混合型
519688,交银精选,20201208,混合型
519690,交银稳健A,20201208,混合型
519692,交银成长A,20201208,混合型
519694,交银蓝筹,20201208,混合型
519697,交银行业,20201208,混合型
519698,交银先锋,20201208,混合型
519700,交银主题,20201208,混合型
519702,交银趋势,20201208,混合型
519704,交银先进制造,20201208,混合型
519710,交银策略回报,20201208,混合型
519712,交银阿尔法,20201208,混合型
519714,交银消费,20201208,股票型
519727,交银成长30,20201208,混合型
519732,交银双息平衡,20201208,混合型
519736,交银新成长,20201208,混合型
519738,交银周期回报A,20201208,混合型
519752,交银新回报A,20201208,混合型
519755,交银多策略A,20201208,混合型
519756,交银国企改革,20201208,混合型
519759,交银周期回报C,20201208,混合型
519760,交银新回报C,20201208,混合型
519761,交银多策略C,20201208,混合型
519766,交银荣鑫,20201208,混合型
519767,交银科技创新,20201208,混合型
519768,交银优选回报A,20201208,混合型
519769,交银优选回报C,20201208,混合型
519770,交银优择回报A,20201208,混合型
519771,交银优择回报C,20201208,混合型
519772,交银新生活力,20201208,混合型
519773,交银数据产业,20201208,混合型
519778,交银经济新动力,20201208,混合型
519779,交银沪港深价值精选,20201208,混合型
