fund_day_rise,fund_id,fund_name,fund_net_value,fund_this_year_rise,fund_time,fund_type,fund_year_rise
2.09%,004812,中欧先进制造A,2.2678,104.95%,20201208,股票型,89.57%
2.09%,004813,中欧先进制造C,2.2628,104.19%,20201208,股票型,88.19%
1.02%,004616,中欧电子信息A,2.1575,48.95%,20201208,股票型,45.36%
1.02%,005763,中欧电子信息C,2.2514,47.92%,20201208,股票型,44.28%
0.68%,001938,中欧时代先锋A,1.8921,51.10%,20201208,股票型,42.96%
0.67%,004241,中欧时代先锋C,1.8623,49.91%,20201208,股票型,41.90%
0.29%,006228,中欧医疗创新A,2.2841,79.79%,20201208,股票型,81.12%
0.28%,006229,中欧医疗创新C,2.2534,78.37%,20201208,股票型,79.77%
-0.42%,002621,中欧消费主题A,2.8620,59.27%,20201208,股票型,56.91%
-0.45%,002697,中欧消费主题C,2.8500,58.07%,20201208,股票型,55.74%
-0.58%,005620,中欧品质消费A,2.3559,68.99%,20201208,股票型,67.30%
-0.58%,005621,中欧品质消费C,2.3073,67.66%,20201208,股票型,66.06%
1.57%,001000,中欧明睿新起点,1.8170,59.67%,20201208,混合型,59.39%
1.15%,006529,中欧匠心两年持有A,1.5329,60.69%,20201208,混合型,51.21%
1.15%,006530,中欧匠心两年持有C,1.5292,60.06%,20201208,混合型,50.65%
1.05%,005241,中欧时代智慧A,1.9956,76.07%,20201208,混合型,68.33%
1.05%,005242,中欧时代智慧C,1.9449,74.70%,20201208,混合型,67.10%
0.71%,004231,中欧行业成长C,2.1284,57.74%,20201208,混合型,52.42%
0.71%,001886,中欧行业成长E,2.1898,58.95%,20201208,混合型,53.54%
0.68%,005275,中欧创新成长A,2.0044,62.25%,20201208,混合型,57.20%
0.68%,005276,中欧创新成长C,1.9632,61.00%,20201208,混合型,56.04%
0.60%,001955,中欧养老产业,2.5250,55.48%,20201208,混合型,47.49%
0.59%,009776,中欧阿尔法混合A,1.0318,--,20201208,混合型,--
0.59%,009777,中欧阿尔法混合C,1.0302,--,20201208,混合型,--
0.57%,005765,中欧明睿新常态C,2.1100,50.18%,20201208,混合型,42.28%
0.56%,001811,中欧明睿新常态A,2.1370,51.45%,20201208,混合型,43.33%
0.47%,009872,中欧责任投资混合A,1.0396,--,20201208,混合型,--
0.46%,009873,中欧责任投资混合C,1.0375,--,20201208,混合型,--
0.46%,010214,中欧互联网先锋混合C,1.0189,--,20201208,混合型,--
0.45%,010213,中欧互联网先锋混合A,1.0196,--,20201208,混合型,--
0.33%,003096,中欧医疗健康C,3.0620,74.57%,20201208,混合型,76.69%
0.33%,003095,中欧医疗健康A,3.0860,75.84%,20201208,混合型,78.07%
0.27%,001883,中欧新动力E,3.3782,66.61%,20201208,混合型,57.27%
0.27%,009210,中欧嘉和三年持有A,1.2856,--,20201208,混合型,--
0.27%,004236,中欧新动力C,3.3022,65.32%,20201208,混合型,56.10%
0.27%,009211,中欧嘉和三年持有C,1.2829,--,20201208,混合型,--
0.24%,001980,中欧量化驱动,1.3650,28.21%,20201208,混合型,22.93%
